typL,liczbaL,typS,liczbS,typP,liczbaP,typWrogaL,liczbaWrogaL,typWrogaS,liczbWrogaS,typWrogaP,liczbaWrogaP,wygrana
artylerzysci,332,konnica,79,konnica,24,artylerzysci,150,piechurzy,251,konnica,23,1
artylerzysci,10,piechurzy,81,piechurzy,139,konnica,412,piechurzy,69,artylerzysci,10,0
piechurzy,303,artylerzysci,37,piechurzy,32,piechurzy,422,konnica,43,artylerzysci,69,0
piechurzy,229,artylerzysci,119,konnica,122,konnica,459,artylerzysci,17,piechurzy,3,0
piechurzy,297,konnica,158,konnica,23,artylerzysci,98,artylerzysci,426,artylerzysci,98,0
artylerzysci,95,piechurzy,182,artylerzysci,116,konnica,26,artylerzysci,294,piechurzy,13,1
konnica,168,artylerzysci,118,konnica,16,artylerzysci,20,piechurzy,154,artylerzysci,259,1
artylerzysci,325,artylerzysci,49,piechurzy,3,konnica,95,artylerzysci,299,artylerzysci,40,0
piechurzy,81,konnica,206,artylerzysci,4,artylerzysci,13,artylerzysci,444,artylerzysci,138,0
piechurzy,131,konnica,148,artylerzysci,23,konnica,190,konnica,237,konnica,5,0
artylerzysci,310,konnica,92,piechurzy,4,artylerzysci,165,artylerzysci,324,konnica,101,0
artylerzysci,171,piechurzy,95,konnica,37,artylerzysci,128,artylerzysci,266,piechurzy,7,0
konnica,116,piechurzy,87,piechurzy,71,konnica,379,artylerzysci,60,artylerzysci,70,0
artylerzysci,84,artylerzysci,37,artylerzysci,243,artylerzysci,402,konnica,183,piechurzy,10,0
piechurzy,148,piechurzy,154,artylerzysci,42,konnica,395,artylerzysci,98,piechurzy,6,0
konnica,292,konnica,10,piechurzy,37,piechurzy,223,konnica,280,konnica,54,1
artylerzysci,211,artylerzysci,154,artylerzysci,4,artylerzysci,293,konnica,5,konnica,153,0
artylerzysci,19,konnica,181,artylerzysci,45,piechurzy,351,artylerzysci,4,konnica,72,0
piechurzy,248,konnica,222,piechurzy,5,konnica,432,piechurzy,31,artylerzysci,4,0
piechurzy,195,artylerzysci,5,piechurzy,79,artylerzysci,38,artylerzysci,303,artylerzysci,208,0
piechurzy,148,artylerzysci,77,artylerzysci,55,piechurzy,213,artylerzysci,39,artylerzysci,111,0
konnica,168,konnica,45,piechurzy,129,piechurzy,477,piechurzy,32,piechurzy,186,0
artylerzysci,97,piechurzy,103,piechurzy,135,piechurzy,161,artylerzysci,51,piechurzy,7,1
piechurzy,138,artylerzysci,92,artylerzysci,132,piechurzy,247,piechurzy,155,konnica,217,0
artylerzysci,345,piechurzy,33,piechurzy,6,artylerzysci,262,artylerzysci,103,piechurzy,6,1
artylerzysci,287,piechurzy,128,artylerzysci,37,artylerzysci,59,piechurzy,268,artylerzysci,299,0
piechurzy,86,artylerzysci,16,piechurzy,188,artylerzysci,14,piechurzy,127,piechurzy,123,1
konnica,47,konnica,152,artylerzysci,20,piechurzy,271,piechurzy,46,piechurzy,230,0
artylerzysci,98,konnica,140,artylerzysci,137,artylerzysci,303,piechurzy,144,piechurzy,82,0
konnica,145,konnica,126,piechurzy,11,piechurzy,258,konnica,311,piechurzy,48,0
piechurzy,189,piechurzy,22,artylerzysci,221,piechurzy,350,konnica,160,artylerzysci,132,0
piechurzy,109,artylerzysci,183,konnica,95,artylerzysci,97,piechurzy,248,konnica,300,0
artylerzysci,30,piechurzy,242,piechurzy,176,artylerzysci,397,artylerzysci,75,artylerzysci,63,0
konnica,350,konnica,2,artylerzysci,1,konnica,62,artylerzysci,336,artylerzysci,111,1
piechurzy,137,artylerzysci,202,piechurzy,43,piechurzy,209,piechurzy,149,piechurzy,29,1
piechurzy,225,piechurzy,79,artylerzysci,100,konnica,386,piechurzy,28,artylerzysci,91,0
konnica,311,konnica,26,konnica,2,piechurzy,211,konnica,154,piechurzy,116,1
piechurzy,198,piechurzy,229,artylerzysci,110,piechurzy,8,piechurzy,95,artylerzysci,243,1
piechurzy,135,piechurzy,10,piechurzy,90,artylerzysci,371,konnica,66,artylerzysci,133,0
konnica,311,artylerzysci,14,piechurzy,7,artylerzysci,140,artylerzysci,245,artylerzysci,205,1
konnica,83,konnica,102,konnica,22,konnica,264,konnica,151,artylerzysci,11,0
piechurzy,238,konnica,13,konnica,169,piechurzy,137,piechurzy,197,piechurzy,79,1
konnica,327,piechurzy,2,artylerzysci,2,piechurzy,337,konnica,269,piechurzy,19,1
piechurzy,145,konnica,12,artylerzysci,224,artylerzysci,468,konnica,131,konnica,2,0
konnica,123,konnica,204,piechurzy,9,konnica,464,konnica,10,piechurzy,4,0
konnica,255,konnica,52,konnica,24,konnica,259,piechurzy,86,piechurzy,124,0
artylerzysci,96,piechurzy,137,konnica,12,konnica,329,artylerzysci,69,piechurzy,2,0
artylerzysci,45,artylerzysci,293,konnica,92,konnica,154,piechurzy,78,konnica,234,0
artylerzysci,115,konnica,210,piechurzy,47,konnica,321,piechurzy,8,piechurzy,113,0
piechurzy,333,piechurzy,166,artylerzysci,43,piechurzy,269,konnica,342,konnica,6,0
piechurzy,237,piechurzy,86,konnica,177,konnica,283,artylerzysci,60,piechurzy,121,0
piechurzy,195,konnica,207,konnica,31,piechurzy,390,konnica,296,artylerzysci,8,0
artylerzysci,134,piechurzy,249,artylerzysci,49,artylerzysci,397,artylerzysci,85,konnica,44,0
konnica,143,piechurzy,117,artylerzysci,89,konnica,251,artylerzysci,198,konnica,16,0
artylerzysci,207,artylerzysci,129,artylerzysci,83,piechurzy,293,piechurzy,180,artylerzysci,254,0
konnica,261,konnica,31,konnica,40,artylerzysci,47,artylerzysci,125,konnica,363,0
piechurzy,342,artylerzysci,79,artylerzysci,102,artylerzysci,189,konnica,279,piechurzy,37,0
piechurzy,51,piechurzy,135,konnica,240,konnica,471,artylerzysci,2,piechurzy,24,0
artylerzysci,344,artylerzysci,58,artylerzysci,33,konnica,60,piechurzy,314,piechurzy,260,1
konnica,310,artylerzysci,5,piechurzy,32,konnica,190,piechurzy,52,konnica,72,1
piechurzy,34,artylerzysci,39,konnica,154,artylerzysci,438,piechurzy,135,artylerzysci,34,0
konnica,241,piechurzy,101,piechurzy,11,artylerzysci,331,artylerzysci,125,konnica,97,0
piechurzy,89,piechurzy,259,artylerzysci,27,artylerzysci,491,konnica,24,artylerzysci,42,0
konnica,246,artylerzysci,33,piechurzy,81,artylerzysci,386,piechurzy,38,konnica,106,0
konnica,127,artylerzysci,85,piechurzy,7,piechurzy,17,konnica,198,konnica,240,0
artylerzysci,96,piechurzy,274,konnica,35,konnica,90,konnica,72,piechurzy,200,0
konnica,2,piechurzy,185,piechurzy,204,piechurzy,51,konnica,190,artylerzysci,148,0
piechurzy,220,piechurzy,67,konnica,72,piechurzy,170,artylerzysci,237,piechurzy,102,0
piechurzy,255,konnica,27,artylerzysci,137,konnica,388,konnica,43,artylerzysci,31,0
artylerzysci,188,artylerzysci,191,piechurzy,52,artylerzysci,17,konnica,361,piechurzy,71,0
artylerzysci,275,artylerzysci,78,artylerzysci,47,piechurzy,314,piechurzy,71,artylerzysci,143,1
artylerzysci,328,piechurzy,70,konnica,2,piechurzy,432,artylerzysci,74,piechurzy,80,1
artylerzysci,237,artylerzysci,156,konnica,57,piechurzy,310,konnica,178,artylerzysci,137,1
piechurzy,64,piechurzy,37,piechurzy,233,artylerzysci,456,piechurzy,12,artylerzysci,44,0
konnica,343,artylerzysci,7,konnica,1,artylerzysci,165,konnica,350,piechurzy,17,1
artylerzysci,140,konnica,205,konnica,8,artylerzysci,124,konnica,88,konnica,85,1
artylerzysci,319,konnica,70,piechurzy,20,artylerzysci,439,piechurzy,124,konnica,83,0
konnica,324,piechurzy,7,konnica,12,artylerzysci,363,artylerzysci,118,piechurzy,123,0
artylerzysci,160,artylerzysci,213,artylerzysci,35,artylerzysci,339,artylerzysci,88,piechurzy,11,0
artylerzysci,8,piechurzy,340,artylerzysci,133,piechurzy,414,konnica,76,artylerzysci,37,0
konnica,233,artylerzysci,1,artylerzysci,6,piechurzy,152,konnica,191,artylerzysci,52,1
artylerzysci,311,piechurzy,21,piechurzy,48,konnica,465,artylerzysci,29,piechurzy,3,0
artylerzysci,209,konnica,60,artylerzysci,29,artylerzysci,444,artylerzysci,139,piechurzy,46,0
konnica,4,konnica,315,konnica,27,konnica,269,konnica,186,konnica,3,0
piechurzy,302,konnica,46,piechurzy,35,artylerzysci,297,konnica,144,artylerzysci,87,0
konnica,180,konnica,33,artylerzysci,71,artylerzysci,320,konnica,158,artylerzysci,99,0
konnica,304,konnica,24,piechurzy,13,piechurzy,495,artylerzysci,28,konnica,32,1
artylerzysci,96,piechurzy,220,konnica,36,konnica,57,piechurzy,340,konnica,179,0
piechurzy,166,piechurzy,10,artylerzysci,214,konnica,498,piechurzy,1,konnica,3,0
piechurzy,331,piechurzy,9,piechurzy,177,konnica,498,piechurzy,4,konnica,2,0
artylerzysci,108,konnica,153,piechurzy,87,artylerzysci,339,artylerzysci,34,piechurzy,211,0
konnica,246,piechurzy,93,artylerzysci,21,konnica,365,konnica,56,piechurzy,64,0
piechurzy,201,artylerzysci,74,artylerzysci,125,artylerzysci,222,piechurzy,323,piechurzy,42,1
piechurzy,235,konnica,40,piechurzy,82,piechurzy,486,artylerzysci,115,piechurzy,111,0
piechurzy,295,piechurzy,122,artylerzysci,111,piechurzy,96,konnica,46,artylerzysci,100,1
artylerzysci,70,artylerzysci,57,konnica,185,piechurzy,215,konnica,171,piechurzy,28,1
piechurzy,54,piechurzy,138,konnica,178,piechurzy,428,piechurzy,236,piechurzy,49,1
konnica,265,konnica,44,konnica,41,piechurzy,424,artylerzysci,253,artylerzysci,85,0
piechurzy,105,konnica,181,artylerzysci,70,artylerzysci,76,konnica,115,piechurzy,56,1
piechurzy,180,piechurzy,185,piechurzy,128,piechurzy,222,artylerzysci,362,piechurzy,115,0
konnica,229,artylerzysci,6,artylerzysci,104,konnica,412,artylerzysci,29,artylerzysci,52,0
konnica,112,artylerzysci,199,konnica,27,artylerzysci,486,konnica,47,piechurzy,46,0
artylerzysci,322,artylerzysci,61,artylerzysci,47,piechurzy,42,konnica,232,piechurzy,37,1
konnica,131,artylerzysci,49,piechurzy,19,konnica,25,piechurzy,70,piechurzy,344,1
piechurzy,179,artylerzysci,121,piechurzy,58,artylerzysci,244,piechurzy,92,artylerzysci,7,0
artylerzysci,267,piechurzy,73,konnica,67,konnica,182,piechurzy,114,artylerzysci,65,1
artylerzysci,242,artylerzysci,53,konnica,63,artylerzysci,367,piechurzy,153,konnica,120,0
piechurzy,140,artylerzysci,132,piechurzy,90,konnica,165,artylerzysci,168,artylerzysci,131,0
piechurzy,288,artylerzysci,55,artylerzysci,81,artylerzysci,189,konnica,43,artylerzysci,42,0
konnica,324,artylerzysci,13,artylerzysci,7,konnica,427,piechurzy,34,artylerzysci,36,0
piechurzy,5,artylerzysci,49,piechurzy,40,piechurzy,446,konnica,215,piechurzy,20,0
konnica,212,piechurzy,121,konnica,37,piechurzy,344,artylerzysci,159,artylerzysci,207,0
piechurzy,36,piechurzy,309,konnica,101,artylerzysci,263,piechurzy,244,konnica,36,0
artylerzysci,288,konnica,8,artylerzysci,20,konnica,259,artylerzysci,164,piechurzy,83,0
artylerzysci,319,piechurzy,75,konnica,8,piechurzy,36,konnica,215,piechurzy,34,1
konnica,63,artylerzysci,81,piechurzy,163,artylerzysci,88,konnica,169,piechurzy,31,0
artylerzysci,287,konnica,14,artylerzysci,72,konnica,498,konnica,2,artylerzysci,2,0
konnica,153,artylerzysci,116,artylerzysci,9,piechurzy,306,piechurzy,122,artylerzysci,214,0
piechurzy,12,piechurzy,99,artylerzysci,145,artylerzysci,34,konnica,346,piechurzy,68,0
piechurzy,299,artylerzysci,173,artylerzysci,55,artylerzysci,38,konnica,138,konnica,335,0
piechurzy,268,artylerzysci,81,artylerzysci,8,artylerzysci,232,konnica,84,piechurzy,130,0
piechurzy,246,artylerzysci,69,artylerzysci,170,konnica,209,konnica,3,piechurzy,105,1
piechurzy,112,artylerzysci,191,konnica,82,konnica,176,piechurzy,262,artylerzysci,168,0
piechurzy,108,artylerzysci,265,konnica,15,artylerzysci,366,konnica,181,piechurzy,36,0
konnica,305,piechurzy,10,konnica,21,konnica,398,piechurzy,45,konnica,23,0
artylerzysci,82,konnica,135,piechurzy,48,artylerzysci,288,konnica,39,artylerzysci,147,0
artylerzysci,298,konnica,105,konnica,19,artylerzysci,205,konnica,333,artylerzysci,7,0
piechurzy,281,piechurzy,71,piechurzy,122,konnica,498,piechurzy,1,piechurzy,1,0
artylerzysci,311,artylerzysci,99,piechurzy,17,artylerzysci,231,artylerzysci,157,piechurzy,164,0
piechurzy,115,piechurzy,174,konnica,19,piechurzy,152,piechurzy,160,piechurzy,114,0
artylerzysci,96,piechurzy,14,artylerzysci,238,konnica,497,artylerzysci,3,artylerzysci,1,0
konnica,273,artylerzysci,56,piechurzy,26,artylerzysci,98,konnica,364,piechurzy,47,1
artylerzysci,159,konnica,187,artylerzysci,15,konnica,221,konnica,225,artylerzysci,10,0
konnica,6,konnica,264,konnica,26,piechurzy,267,piechurzy,166,konnica,138,0
konnica,24,artylerzysci,255,piechurzy,106,konnica,97,piechurzy,223,konnica,227,0
piechurzy,244,konnica,32,artylerzysci,193,artylerzysci,187,artylerzysci,269,piechurzy,107,1
artylerzysci,122,konnica,143,piechurzy,16,konnica,412,piechurzy,70,piechurzy,28,0
artylerzysci,110,konnica,44,konnica,48,konnica,324,piechurzy,93,artylerzysci,15,0
artylerzysci,155,artylerzysci,56,piechurzy,37,piechurzy,215,piechurzy,140,konnica,198,0
piechurzy,81,artylerzysci,51,konnica,238,piechurzy,474,piechurzy,32,konnica,183,0
piechurzy,31,piechurzy,7,artylerzysci,313,konnica,297,konnica,127,piechurzy,62,1
piechurzy,289,konnica,80,piechurzy,117,piechurzy,301,konnica,151,artylerzysci,70,0
konnica,287,artylerzysci,11,piechurzy,45,piechurzy,343,piechurzy,170,piechurzy,69,1
artylerzysci,147,artylerzysci,39,artylerzysci,194,artylerzysci,395,piechurzy,86,konnica,21,0
konnica,70,artylerzysci,174,artylerzysci,60,piechurzy,299,konnica,33,artylerzysci,227,0
piechurzy,248,konnica,210,piechurzy,2,piechurzy,29,artylerzysci,442,artylerzysci,86,0
piechurzy,88,konnica,296,piechurzy,5,piechurzy,348,konnica,284,artylerzysci,27,0
piechurzy,111,artylerzysci,96,konnica,44,piechurzy,409,piechurzy,132,artylerzysci,39,0
artylerzysci,285,artylerzysci,78,piechurzy,42,artylerzysci,129,artylerzysci,79,artylerzysci,67,1
piechurzy,21,konnica,127,artylerzysci,34,konnica,219,piechurzy,20,konnica,62,0
artylerzysci,131,piechurzy,94,artylerzysci,195,konnica,73,piechurzy,273,artylerzysci,80,1
piechurzy,307,piechurzy,134,artylerzysci,85,piechurzy,23,piechurzy,425,artylerzysci,58,1
piechurzy,138,artylerzysci,54,konnica,148,konnica,326,artylerzysci,140,konnica,7,0
piechurzy,238,artylerzysci,104,konnica,132,artylerzysci,477,piechurzy,93,piechurzy,35,1
piechurzy,307,artylerzysci,90,artylerzysci,79,artylerzysci,42,piechurzy,409,piechurzy,55,1
konnica,219,konnica,47,artylerzysci,24,piechurzy,311,artylerzysci,175,konnica,182,0
konnica,225,artylerzysci,119,konnica,36,piechurzy,341,piechurzy,27,artylerzysci,270,1
artylerzysci,339,artylerzysci,55,piechurzy,37,konnica,126,piechurzy,156,konnica,100,1
piechurzy,204,artylerzysci,184,artylerzysci,19,konnica,496,piechurzy,3,konnica,2,0
artylerzysci,153,artylerzysci,79,artylerzysci,78,konnica,324,konnica,110,artylerzysci,28,0
konnica,220,konnica,96,artylerzysci,1,artylerzysci,280,konnica,168,artylerzysci,98,0
konnica,101,konnica,193,konnica,4,konnica,471,artylerzysci,2,artylerzysci,7,0
konnica,236,piechurzy,91,piechurzy,32,piechurzy,169,artylerzysci,274,piechurzy,115,1
artylerzysci,2,konnica,200,konnica,69,artylerzysci,361,artylerzysci,132,artylerzysci,125,0
konnica,101,konnica,59,konnica,37,konnica,71,konnica,103,piechurzy,264,0
artylerzysci,327,konnica,28,artylerzysci,41,artylerzysci,221,konnica,326,piechurzy,7,0
konnica,252,piechurzy,67,konnica,65,konnica,379,konnica,13,piechurzy,66,0
konnica,261,artylerzysci,83,konnica,5,artylerzysci,393,piechurzy,61,konnica,167,0
piechurzy,257,piechurzy,170,konnica,85,artylerzysci,184,artylerzysci,280,piechurzy,3,0
piechurzy,185,piechurzy,50,artylerzysci,118,artylerzysci,171,artylerzysci,93,piechurzy,218,0
artylerzysci,199,artylerzysci,108,artylerzysci,82,konnica,121,piechurzy,146,konnica,140,0
konnica,343,artylerzysci,7,artylerzysci,3,artylerzysci,273,artylerzysci,206,konnica,87,1
konnica,351,piechurzy,1,artylerzysci,1,konnica,306,artylerzysci,148,piechurzy,2,0
artylerzysci,278,artylerzysci,90,piechurzy,9,piechurzy,193,konnica,182,piechurzy,45,1
konnica,52,konnica,221,konnica,64,artylerzysci,368,konnica,120,piechurzy,98,0
artylerzysci,93,piechurzy,101,konnica,20,piechurzy,427,piechurzy,128,artylerzysci,15,0
artylerzysci,219,piechurzy,56,konnica,46,konnica,336,piechurzy,14,konnica,137,0
artylerzysci,347,konnica,61,konnica,27,konnica,354,piechurzy,128,konnica,17,0
piechurzy,114,konnica,50,artylerzysci,217,konnica,37,konnica,202,artylerzysci,206,0
artylerzysci,260,artylerzysci,89,artylerzysci,47,piechurzy,225,konnica,288,artylerzysci,100,1
konnica,196,konnica,45,konnica,102,konnica,366,piechurzy,39,piechurzy,32,1
piechurzy,207,piechurzy,201,artylerzysci,147,konnica,450,konnica,6,konnica,21,0
piechurzy,260,artylerzysci,75,artylerzysci,119,artylerzysci,145,konnica,115,piechurzy,131,1
piechurzy,73,konnica,11,artylerzysci,241,piechurzy,270,konnica,186,artylerzysci,122,0
piechurzy,243,artylerzysci,220,piechurzy,53,konnica,473,konnica,27,artylerzysci,1,0
piechurzy,118,artylerzysci,18,piechurzy,104,artylerzysci,131,artylerzysci,19,piechurzy,51,0
artylerzysci,144,piechurzy,233,piechurzy,55,piechurzy,123,artylerzysci,364,konnica,5,0
konnica,280,konnica,44,piechurzy,22,konnica,78,piechurzy,121,piechurzy,192,1
konnica,148,piechurzy,93,konnica,125,piechurzy,459,konnica,49,artylerzysci,218,0
artylerzysci,281,konnica,45,piechurzy,95,konnica,470,konnica,15,piechurzy,13,0
piechurzy,267,artylerzysci,56,piechurzy,48,konnica,339,konnica,75,piechurzy,57,0
artylerzysci,247,artylerzysci,64,piechurzy,4,artylerzysci,241,piechurzy,200,piechurzy,111,0
konnica,282,piechurzy,53,artylerzysci,12,konnica,268,artylerzysci,209,piechurzy,17,0
konnica,187,konnica,6,piechurzy,101,piechurzy,371,piechurzy,94,konnica,29,0
artylerzysci,38,piechurzy,108,konnica,242,piechurzy,439,konnica,221,konnica,7,0
konnica,85,piechurzy,39,konnica,113,artylerzysci,230,artylerzysci,170,artylerzysci,49,0
konnica,271,artylerzysci,39,artylerzysci,39,konnica,19,konnica,68,artylerzysci,124,1
artylerzysci,6,konnica,112,konnica,9,artylerzysci,168,konnica,357,konnica,8,0
piechurzy,214,artylerzysci,205,konnica,65,piechurzy,309,piechurzy,96,konnica,117,1
konnica,233,konnica,5,artylerzysci,74,piechurzy,415,artylerzysci,82,konnica,133,0
piechurzy,155,konnica,92,konnica,68,piechurzy,136,piechurzy,143,konnica,343,0
artylerzysci,82,konnica,277,piechurzy,6,piechurzy,247,piechurzy,334,artylerzysci,22,1
piechurzy,115,konnica,76,artylerzysci,111,piechurzy,100,artylerzysci,234,artylerzysci,53,0
artylerzysci,16,piechurzy,276,konnica,188,piechurzy,68,konnica,313,artylerzysci,11,1
artylerzysci,328,artylerzysci,91,artylerzysci,3,piechurzy,191,konnica,239,artylerzysci,137,1
konnica,272,konnica,64,piechurzy,16,konnica,24,piechurzy,33,piechurzy,405,1
konnica,119,konnica,66,konnica,32,piechurzy,407,piechurzy,143,artylerzysci,142,0
artylerzysci,319,artylerzysci,96,artylerzysci,32,artylerzysci,127,artylerzysci,158,konnica,245,0
artylerzysci,171,artylerzysci,172,piechurzy,59,artylerzysci,206,artylerzysci,241,konnica,62,0
konnica,22,konnica,71,artylerzysci,108,konnica,119,piechurzy,175,konnica,19,0
konnica,300,artylerzysci,14,piechurzy,8,konnica,459,konnica,24,konnica,1,0
konnica,193,piechurzy,115,artylerzysci,39,artylerzysci,24,artylerzysci,64,artylerzysci,188,1
konnica,283,artylerzysci,29,konnica,8,artylerzysci,140,konnica,170,piechurzy,3,1
konnica,136,konnica,66,piechurzy,54,piechurzy,220,piechurzy,369,artylerzysci,70,0
piechurzy,130,piechurzy,248,piechurzy,75,piechurzy,193,artylerzysci,258,konnica,111,0
piechurzy,31,artylerzysci,112,konnica,194,piechurzy,235,artylerzysci,135,piechurzy,4,1
piechurzy,186,artylerzysci,3,konnica,73,artylerzysci,159,konnica,40,artylerzysci,7,1
piechurzy,96,piechurzy,65,artylerzysci,92,konnica,425,konnica,64,artylerzysci,9,0
artylerzysci,220,artylerzysci,44,artylerzysci,123,konnica,56,artylerzysci,100,artylerzysci,181,1
artylerzysci,156,piechurzy,213,piechurzy,113,artylerzysci,79,konnica,239,artylerzysci,16,0
piechurzy,28,konnica,302,artylerzysci,17,piechurzy,463,konnica,195,piechurzy,8,0
artylerzysci,297,piechurzy,44,artylerzysci,30,konnica,392,konnica,31,konnica,64,0
artylerzysci,315,artylerzysci,64,artylerzysci,33,konnica,453,artylerzysci,40,konnica,19,0
artylerzysci,266,artylerzysci,128,konnica,42,piechurzy,228,artylerzysci,172,piechurzy,126,1
piechurzy,260,konnica,102,piechurzy,97,konnica,260,artylerzysci,202,piechurzy,57,0
artylerzysci,10,artylerzysci,224,piechurzy,24,konnica,309,piechurzy,37,artylerzysci,148,0
piechurzy,38,konnica,319,artylerzysci,1,konnica,492,piechurzy,7,konnica,5,0
artylerzysci,198,piechurzy,9,piechurzy,191,piechurzy,492,konnica,245,konnica,4,0
artylerzysci,226,konnica,80,artylerzysci,14,konnica,320,konnica,1,artylerzysci,46,0
piechurzy,295,artylerzysci,41,piechurzy,56,piechurzy,500,piechurzy,170,artylerzysci,79,0
konnica,262,konnica,29,konnica,5,artylerzysci,114,konnica,283,konnica,41,1
piechurzy,222,artylerzysci,56,konnica,33,artylerzysci,68,artylerzysci,59,piechurzy,161,0
piechurzy,264,piechurzy,103,piechurzy,1,piechurzy,246,artylerzysci,250,artylerzysci,137,0
konnica,257,piechurzy,22,piechurzy,16,artylerzysci,369,piechurzy,31,piechurzy,155,0
artylerzysci,83,konnica,181,artylerzysci,51,artylerzysci,431,artylerzysci,75,artylerzysci,2,0
piechurzy,242,artylerzysci,53,konnica,188,konnica,344,konnica,82,artylerzysci,65,0
piechurzy,131,konnica,185,artylerzysci,37,artylerzysci,155,konnica,137,piechurzy,113,0
artylerzysci,231,artylerzysci,4,artylerzysci,52,piechurzy,54,konnica,48,piechurzy,178,1
piechurzy,146,konnica,43,artylerzysci,145,piechurzy,416,konnica,10,konnica,224,0
artylerzysci,9,konnica,114,konnica,198,piechurzy,200,konnica,148,konnica,186,0
artylerzysci,149,piechurzy,205,artylerzysci,76,konnica,284,konnica,75,konnica,72,0
piechurzy,342,artylerzysci,119,piechurzy,29,konnica,22,piechurzy,369,konnica,273,0
konnica,61,artylerzysci,164,artylerzysci,97,artylerzysci,121,konnica,61,konnica,54,1
artylerzysci,194,piechurzy,42,piechurzy,32,piechurzy,293,konnica,104,konnica,26,1
piechurzy,21,konnica,86,artylerzysci,34,piechurzy,167,artylerzysci,184,piechurzy,35,0
piechurzy,72,artylerzysci,38,konnica,205,artylerzysci,312,piechurzy,225,artylerzysci,11,1
konnica,81,artylerzysci,212,piechurzy,84,piechurzy,36,konnica,476,piechurzy,6,0
piechurzy,203,konnica,90,konnica,95,artylerzysci,146,konnica,281,artylerzysci,80,0
artylerzysci,339,artylerzysci,16,artylerzysci,68,piechurzy,155,artylerzysci,250,piechurzy,34,1
artylerzysci,51,piechurzy,241,konnica,96,konnica,217,artylerzysci,140,artylerzysci,61,0
konnica,192,artylerzysci,55,artylerzysci,4,piechurzy,108,konnica,149,artylerzysci,231,1
konnica,127,piechurzy,148,piechurzy,47,piechurzy,494,konnica,114,artylerzysci,56,0
konnica,12,konnica,131,artylerzysci,207,artylerzysci,123,konnica,201,artylerzysci,28,0
piechurzy,12,artylerzysci,268,piechurzy,109,piechurzy,256,piechurzy,273,piechurzy,96,0
artylerzysci,5,piechurzy,86,konnica,129,konnica,124,konnica,4,artylerzysci,55,1
piechurzy,10,konnica,1,artylerzysci,26,artylerzysci,371,artylerzysci,1,konnica,153,0
konnica,200,artylerzysci,22,konnica,43,konnica,1,piechurzy,98,piechurzy,19,1
piechurzy,349,konnica,25,artylerzysci,32,piechurzy,496,artylerzysci,16,piechurzy,146,0
konnica,186,artylerzysci,88,konnica,61,konnica,391,piechurzy,27,artylerzysci,29,0
artylerzysci,47,piechurzy,213,konnica,121,artylerzysci,146,konnica,295,piechurzy,66,0
piechurzy,198,artylerzysci,231,konnica,19,konnica,86,konnica,382,artylerzysci,32,0
piechurzy,4,piechurzy,204,konnica,236,artylerzysci,194,konnica,14,artylerzysci,143,1
artylerzysci,312,konnica,116,konnica,1,artylerzysci,38,konnica,311,artylerzysci,71,0
konnica,239,konnica,54,konnica,35,artylerzysci,487,piechurzy,87,konnica,47,0
artylerzysci,68,artylerzysci,2,piechurzy,105,artylerzysci,354,piechurzy,121,konnica,162,0
artylerzysci,184,piechurzy,85,piechurzy,162,piechurzy,141,piechurzy,366,konnica,220,0
piechurzy,232,artylerzysci,78,piechurzy,138,konnica,81,piechurzy,21,konnica,410,0
piechurzy,237,artylerzysci,116,konnica,116,konnica,181,piechurzy,256,artylerzysci,56,1
artylerzysci,77,piechurzy,10,piechurzy,289,piechurzy,90,piechurzy,441,artylerzysci,197,0
piechurzy,138,artylerzysci,168,konnica,129,konnica,315,konnica,65,artylerzysci,36,0
piechurzy,191,konnica,219,piechurzy,10,artylerzysci,40,piechurzy,150,artylerzysci,366,0
konnica,270,konnica,51,artylerzysci,3,artylerzysci,409,konnica,167,piechurzy,13,0
piechurzy,207,artylerzysci,107,piechurzy,150,artylerzysci,380,konnica,99,konnica,20,0
piechurzy,220,piechurzy,102,konnica,54,piechurzy,34,piechurzy,231,artylerzysci,337,0
konnica,113,piechurzy,133,konnica,90,piechurzy,92,piechurzy,243,piechurzy,69,1
artylerzysci,52,artylerzysci,8,piechurzy,144,piechurzy,189,piechurzy,389,piechurzy,14,0
artylerzysci,166,konnica,51,piechurzy,156,piechurzy,202,artylerzysci,249,artylerzysci,89,0
artylerzysci,135,piechurzy,159,konnica,130,piechurzy,48,piechurzy,248,konnica,215,1
artylerzysci,225,piechurzy,126,piechurzy,21,konnica,202,piechurzy,288,piechurzy,77,0
konnica,185,artylerzysci,123,piechurzy,17,piechurzy,83,piechurzy,94,konnica,376,1
artylerzysci,156,artylerzysci,48,artylerzysci,98,konnica,269,artylerzysci,151,piechurzy,110,0
konnica,99,artylerzysci,61,piechurzy,44,artylerzysci,252,artylerzysci,60,artylerzysci,86,0
artylerzysci,263,konnica,61,piechurzy,20,artylerzysci,249,artylerzysci,71,konnica,17,1
piechurzy,311,artylerzysci,172,artylerzysci,27,piechurzy,216,piechurzy,354,piechurzy,86,1
artylerzysci,38,konnica,302,konnica,12,artylerzysci,316,konnica,229,artylerzysci,22,0
konnica,89,piechurzy,243,artylerzysci,9,piechurzy,35,piechurzy,471,konnica,112,0
artylerzysci,269,piechurzy,80,konnica,29,konnica,445,piechurzy,47,konnica,12,0
artylerzysci,289,konnica,25,artylerzysci,64,konnica,447,konnica,2,konnica,3,0
